index,mean_r2,mean_mae,mean_rmse
RandomForestRegressor,0.8165486042130177,32233.22389955537,49369.04740477742
DecisionTreeRegressor,0.6487946664498951,43977.18191769207,68297.20050621039
LinearRegression,0.6486901845690156,49714.0210660063,68321.73297397648
